Country;Sportsman;Result
Britain;Philip HINDES;1
;Jason KENNY;1
;Callum SKINNER;1
New Zeland;Ethan MITCHELL;2
;Sam WEBSTER;2
;Edward DAWKINS;2
France;Gregory BAUGE;3
;Francois PERVIS;3
;Michael D'ALMEIDA;3
Australia;Nathan HART;
;Matthew GLAETZER;
;Patrick CONSTABLE;
Germany;Joachim EILERS;
;Rene ENDERS;
;Maximilian LEVY;
Netherlands;Theo BOS;
;Jeffrey HOOGLAND;
;Nils VAN HOENDERDAAL;
Poland;Krzysztof MAKSEL;
;Rafal SARNECKI;
;Damian ZIELINSKI;
Venesuela;Hersony CANELON;
;Cesar MARCANO;
;Angel PULGAR;
South Lorea;Chaebin IM;
;Dongjin KANG;
;Jeyong SON;
