Country,Sportsman,Result
Britain,Philip HINDES,1.0
,Jason KENNY,1.0
,Callum SKINNER,1.0
New Zeland,Ethan MITCHELL,2.0
,Sam WEBSTER,2.0
,Edward DAWKINS,2.0
France,Gregory BAUGE,3.0
,Francois PERVIS,3.0
,Michael D'ALMEIDA,3.0
Australia,Nathan HART,
,Matthew GLAETZER,
,Patrick CONSTABLE,
Germany,Joachim EILERS,
,Rene ENDERS,
,Maximilian LEVY,
Netherlands,Theo BOS,
,Jeffrey HOOGLAND,
,Nils VAN HOENDERDAAL,
Poland,Krzysztof MAKSEL,
,Rafal SARNECKI,
,Damian ZIELINSKI,
Venesuela,Hersony CANELON,
,Cesar MARCANO,
,Angel PULGAR,
South Lorea,Chaebin IM,
,Dongjin KANG,
,Jeyong SON,
